date,low_cpu,low_mem,low_num,low_ttl,mid_cpu,mid_mem,mid_num,mid_ttl,high_cpu,high_mem,high_num,high_ttl
2026-3-1 03:16:49,62027.0,7969.889999999999,4.655,6.0,67360.0,5020.99,30.006,2.0,21615.0,4279.169999999999,97.867,2.0
2026-3-1 03:31:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-3-1 03:46:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-3-1 04:01:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-3-1 04:16:49,0.0,0.0,0.0,0.0,48001.0,2563.83,8.517,1.0,0.0,0.0,0.0,0.0
2026-3-1 04:31:49,109687.0,12478.34,0.6290000000000001,4.0,13241.0,2005.12,9.264,1.0,0.0,0.0,0.0,0.0
2026-3-1 04:46:49,12568.0,669.4,0.521,1.0,55637.0,6124.29,26.843,2.0,0.0,0.0,0.0,0.0
2026-3-1 05:01:49,42196.0,3949.91,2.5199999999999996,4.0,30423.0,1270.12,14.874,1.0,0.0,0.0,0.0,0.0
2026-3-1 05:16:49,173460.0,16439.34,11.020999999999999,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-3-1 05:31:49,6109.0,663.1099999999999,0.40800000000000003,2.0,35854.0,1704.94,19.507,1.0,0.0,0.0,0.0,0.0
2026-3-1 05:46:49,0.0,0.0,0.0,0.0,25145.0,2000.07,12.563,1.0,0.0,0.0,0.0,0.0
2026-3-1 06:01:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-3-1 06:16:49,35626.0,3756.6,5.861999999999999,6.0,84450.0,6840.12,34.229,3.0,41048.0,5126.71,157.40800000000002,2.0
2026-3-1 06:31:49,0.0,0.0,0.0,0.0,28158.0,2388.46,17.18,1.0,24045.0,3608.9,142.236,2.0
2026-3-1 06:46:49,77048.0,8836.68,16.104,12.0,225052.0,12468.08,61.655,6.0,163178.0,20916.58,225.898,5.0
2026-3-1 07:01:49,8524.0,902.58,0.293,1.0,31366.0,1002.4,17.435,1.0,0.0,0.0,0.0,0.0
